ecount_prod_cd,ecount_prod_des,ecount_out_price2,ecount_prev_price,cafe24_product_code,cafe24_product_name,cafe24_product_no,매칭상태,최종업데이트
(1)100방부목91라티,15T x 1200mm x 2400mm,,,P0000BTH,방부 라티스 (15T),,성공,
(2)100방부라티스캡,방부라티스 U캡,,,P0000BTH,방부 라티스 (15T),,성공,
(2)800주춧44,주춧돌 4 x 4,,,P0000BTF,주춧돌(앙카블럭),,성공,
,주춧돌 5 x 5,,,,,,실패,
,주춧돌 6 x 6,,,,,,실패,
,12T x 1000 x 2000,,,,,,실패,
,15T x 1220 x 2200,,,,,,실패,
,20T x 132 x 2400,,,,,,실패,
,20T x 132 x 3000,,,,,,실패,
,20T x 138 x 2400,,,,,,실패,
,20T x 138 x 3000,,,,,,실패,
,25T x 150 x 2400,,,,,,실패,
,25T x 150 x 3000,,,,,,실패,
,기타규격,,,,,,실패,
,합성목재 미들클립,,,,,,실패,
,합성목재 스타트클립,,,,,,실패,
,합성목재 클립 전용피스,,,,,,실패,
,합성목재용 도장 직결피스(DB),,,,,,실패,
,아티론 (연결보조제),,,,,,실패,
,합성목재 평몰딩,,,,,,실패,
,합성목재 평몰딩2,,,,,,실패,
,3.5T x 900 x 1800,,,,,,실패,
,4.5T x 900 x 1800,,,,,,실패,
,6T x 900 x 1800,,,,,,실패,
,9T x 900 x 1800,,,,,,실패,
,12T x 900 x 1800,,,,,,실패,
,----------,,,,,,실패,
,6T x 1220 x 2440,,,,,,실패,
,9T x 1220 x 2440,,,,,,실패,
,일반 15T x 600 x 600,,,,,,실패,
,일반 20T x 600 x 600,,,,,,실패,
,일반 25T x 600 x 600,,,,,,실패,
,방염 15T x 600 x 600,,,,,,실패,
,방염 20T x 600 x 600,,,,,,실패,
,방염 25T x 600 x 600,,,,,,실패,
,준불연 15T x 600 x 600,,,,,,실패,
,준불연 20T x 600 x 600,,,,,,실패,
,준불연 25T x 600 x 600,,,,,,실패,
,배송비,,,,,,실패,
,일반 15T x 600 x 1200,,,,,,실패,
,일반 20T x 600 x 1200,,,,,,실패,
,일반 25T x 600 x 1200,,,,,,실패,
,방염 15T x 600 x 1200,,,,,,실패,
,방염 20T x 600 x 1200,,,,,,실패,
,방염 25T x 600 x 1200,,,,,,실패,
,준불연 15T x 600 x 1200,,,,,,실패,
,준불연 20T x 600 x 1200,,,,,,실패,
,준불연 25T x 600 x 1200,,,,,,실패,
,배송비,,,,,,실패,
,5mm이하,,,,,,실패,
,6~11.5mm,,,,,,실패,
,14.5~23mm,,,,,,실패,
,24~30mm,,,,,,실패,
,소송각재,,,,,,실패,
,각재 2x8 이하,,,,,,실패,
,각재 2x8 이상,,,,,,실패,
,템바보드,,,,,,실패,
(1)300준내수948,8.5T x 1220 x 2440 국산 ks,,,P0000BNE,준내수합판 (국산 KS)1220 x 2440mm,,성공,
(1)60011아이소101호,10T x 900 x 1800,,,P0000BND,단열재 아이소핑크/압출법보온판 ,,성공,
(1)60012아이소20특,20T x 900 x 1800,,,P0000BND,단열재 아이소핑크/압출법보온판 ,,성공,
(1)60013아이소30특,30T x 900 x 1800,,,P0000BND,단열재 아이소핑크/압출법보온판 ,,성공,
(1)60014아이소50특,50T x 900 x 1800,,,P0000BND,단열재 아이소핑크/압출법보온판 ,,성공,
(1)60015아이소100특,100T x 900 x 1800,,,P0000BND,단열재 아이소핑크/압출법보온판 ,,성공,
(1)300오크27,오크 미장합판 2.7T x 1220 x 2440mm,,,P0000BNC,오크 미장합판(라미날 합판)1220 x 2440mm,,성공,
(1)300백색27,백색 코팅합판 2.7T x 1220 x 2440m,,,P0000BNB,백색 코팅 합판(백색 포리톤)1220 x 2440mm,,성공,
,15 x 95mm,,,,,,실패,
,21 x 120mm,,,,,,실패,
(1)800매거양625,6 x 25 (2000PCS/1박스),,,P0000BMB,자동연발피스 (양날) 매거진피스,,성공,
(1)800매거양632,6 x 32 (1000PCS/1박스),,,P0000BMB,자동연발피스 (양날) 매거진피스,,성공,
(1)800매거양638,6 x 38 (1000PCS/1박스),,,P0000BMB,자동연발피스 (양날) 매거진피스,,성공,
(1)800매거양321,3 x 21 (2000PCS/1박스) 코팅,,,P0000BMB,자동연발피스 (양날) 매거진피스,,성공,
(1)800윙스25,8 x 25 (500pcs),,,P0000BMA,윙스크류 양날피스,,성공,
(1)800윙스32,8 x 32 (500pcs),,,P0000BMA,윙스크류 양날피스,,성공,
(1)800윙스38,8 x 38 (500pcs),,,P0000BMA,윙스크류 양날피스,,성공,
(1)800윙스45,8 x 45 (500pcs),,,P0000BMA,윙스크류 양날피스,,성공,
(1)800윙스55,8 x 55 (300pcs),,,P0000BMA,윙스크류 양날피스,,성공,
(1)800장갑1코팅R,1타 (10개),,,P0000BLZ,반코팅 장갑 (1타/10개),,성공,
(1)800매거외625,6 x 25 (2000PCS/1박스),,,P0000BLY,자동연발피스 (외날) 매거진피스,,성공,
(1)800매거외632,6 x 32 (1000PCS/1박스),,,P0000BLY,자동연발피스 (외날) 매거진피스,,성공,
(1)800매거외638,6 x 38 (1000PCS/1박스),,,P0000BLY,자동연발피스 (외날) 매거진피스,,성공,
(1)800매거외321,3 x 21 (2000PCS/1박스) 코팅,,,P0000BLY,자동연발피스 (외날) 매거진피스,,성공,
(1)800매거외625코,6 x 25 (2000PCS/1박스) 코팅,,,P0000BLY,자동연발피스 (외날) 매거진피스,,성공,
(1)800씽크경일18,일반 씽크경첩(110도),,,P0000BLX,씽크경첩 110도 18T 일반 / 유압,,성공,
